,Reviewer Name,Rating,review name,Date,Verified Purchase,Review Text,Helpful Count
,Nicole P.,5.0 out of 5 stars,"4.0 out of 5 stars
  Great value, minor issues","Reviewed in the United States on November 28, 2025",Yes,Really impressed with this inflator for the price! Works quickly and accurately. Only complaint is the hose storage is awkward and the power button is hard to press. Otherwise excellent purchase!,14 people found this helpful
,Wanda S. Brokaw,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on August 28, 2018",,It inflated my low tire from 12 PSI to 38 PSI perfectly.,
,Pint,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on September 28, 2017",,The quick-connect adapter is easy and efficient to use.,
,Anita N,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on August 28, 2022",,"I bought it for safety, and I use it for convenience.",
,PJS,4.0 out of 5 stars,,,,Works exactly as advertised. Perfect size to store anywhere convenient. I keep mine in my saddlebag on my motorcycle.,
,Diane,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on September 28, 2018",,The built-in LED light is super handy for night use.,
,Amanda,5.0 out of 5 stars,"5.0 out of 5 stars
  Good for 2 Auto Sports Tires - then recharge needed","Reviewed in the United States on September 11, 2025",No,No more crouching down awkwardly to fill the valve stem.,5 people found this helpful
,Robert,4.0 out of 5 stars, 4.0 out of 5 stars,"Reviewed in the United States on August 28, 2018",,"This is a great item, works like a champ. Good for your car tires, motorcycle or even bicycle. Will inflate up to 99#. One charge is more than enough to get your car tires up to proper pressure or to fill a totally flat tire and then some. They are small enough to sit in your glove box. Highly recommend....",
,Susan,5.0 out of 5 stars,"5.0 out of 5 stars
  Filled 4 tires on 1 charge","Reviewed in the United States on March 12, 2023",,"Product inflated tires well and adapters fit perfectly for some exercise balls and soccer balls we had as well. The overall inflation speed totaled about 3-4 minutes for 5psi on a tire near capacity, but given the convenience it is by no means an issue for me. The design is very simple to understand and the value seems reasonable given the time it saves me pumping tires elsewhere. The durability hasn’t been tested long enough yet at this point but it otherwise got 8 tires maxed by 5 psi each on a single charge in about 20 minutes and it’s charging speed after was fine, albeit I didn’t time that since I won’t need it again for a bit.",
,Mike V,5.0 out of 5 stars,,,,First read the directions it would have helped. Secon it went from a 3 to a 5 cause when i read the instructions and then later needed to fill my teo tires from 45 to 80 this bugger did it wout running out of battery. Also pumped up my zero turn after a flat repair,
